file:///M019-N1_11-1_P.ttl/s1_50	t49_000	gesegenet	VX>RB>Cl	sî	Subj.Pres.Sg.3	sîn	VX>LB>Cl	dâ mite sî dir dîn ouge gesegenet		11	1	P	OOD
file:///M056-N1_11-1_P.ttl/s24_10	t191_000	genomen	VX>RB>Cl	habest	Ind.Pres.Sg.2	haben	VX>LB>Cl	mit diu habest dû in genomen ûzer den anderen lebenten		11	1	P	WOD
file:///M019-N1_11-1_P.ttl/s1_50	t49_000	gesegenet	VX>RB>Cl	sî	Subj.Pres.Sg.3	sîn	VX>LB>Cl	dâ mite sî dir dîn ouge gesegenet		11	1	P	OOD
file:///M056-N1_11-1_P.ttl/s24_10	t191_000	genomen	VX>RB>Cl	habest	Ind.Pres.Sg.2	haben	VX>LB>Cl	mit diu habest dû in genomen ûzer den anderen lebenten		11	1	P	WOD
file:///M091-N1_11-2_P.ttl/s2_9	t130_001	gesündet	VX>RB>Cl	hân	Ind.Pres.Sg.1	haben	VX>RB>Cl	daz ich gesündet hân		11	2	P	OOD
file:///M091-N1_11-2_P.ttl/s14_8	t404_000	gesündet	VX>RB>Cl	hân	Ind.Pres.Sg.1	haben	VX>RB>Cl	daz ich gesündet hân mit huore		11	2	P	OOD
file:///M091-N1_11-2_P.ttl/s16_8	t436_000	gesündet	VX>RB>Cl	hân	Ind.Pres.Sg.1	haben	VX>RB>Cl	daz ich gesündet hân mit roube unde mit diuben		11	2	P	OOD
file:///M095-N1_11-2_P.ttl/s6_54	t133_000	getân	VX>RB>Cl	hâten	Ind.Past.Pl.3	haben	VX>RB>Cl	die sînen willen hâten getân unde daz er an deme dritten tage erstuont		11	2	P	WOD
file:///M097-N1_11-2_P.ttl/s20_19	t562_000	gewürket	VX>RB>Cl	habet	Ind.Pres.Sg.3	haben	VX>RB>Cl	sôwie er gelebet unde gewürket habet		11	2	P	OOD
file:///M097-N1_11-2_P.ttl/s29_39	t860_000	verlougenet	VX>RB>Cl	hân	Ind.Pres.Sg.1	haben	VX>LB>Cl	unde hân al mit den werken leider mir verlougenet		11	2	P	OOD
file:///M097-N1_11-2_P.ttl/s31_48	t1060_000	verworht	VX>RB>Cl	hân	Ind.Pres.Sg.1	haben	VX>RB>Cl	die ich si leider verworht hân		11	2	P	OOD
file:///M097-N1_11-2_P.ttl/s33_5	t1104_000	verbrochen	VX>RB>Cl	hân	Ind.Pres.Sg.1	haben	VX>LB>Cl	ich hân leider mir verbrochen		11	2	P	OOD
file:///M097-N1_11-2_P.ttl/s35_84	t1311_000	geêret	VX>RB>Cl	hân	Ind.Pres.Sg.1	haben	VX>LB>Cl	ne hân ich sô geêret sô ich mit rehte scholte		11	2	P	OOD
file:///M150-N1_11-2_P.ttl/s16_12	t555_000	zestoeret	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	daz zestoeret ist durch unsere sünde daz ez gerihtet werde durch dîne genâde		11	2	P	OOD
file:///M150-N1_11-2_P.ttl/s18_10	t626_000	gesamenet	VX>RB>Cl	sîn	Subj.Pres.Pl.3	sîn	VX>RB>Cl	die iener sîn gesamenet in dîneme namen		11	2	P	OOD
file:///M150-N1_11-2_P.ttl/s19_15	t653_000	bevolhen	VX>RB>Cl	haben	Subj.Pres.Pl.3	haben	VX>RB>Cl	die sich in mîn gebet haben bevolhen mit bigihte ode mit vlêhen		11	2	P	OOD
file:///M150-N1_11-2_P.ttl/s26_21	t869_000	begraben	VX>RB>Cl	sint	Ind.Pres.Pl.3	sîn	VX>RB>Cl	die dâr hier sint begraben mit rehtere geloube vervarne		11	2	P	OOD
file:///M155-N1_11-2_P.ttl/s18_5	t251_000	gelegen	VX>RB>Frag	ist	Ind.Pres.Sg.3	sîn	VX>LB>Frag	des site ist sô gelegen		11	2	P	WOD
file:///M155-N1_11-2_P.ttl/s73_8	t1166_000	gewarnet	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	der dâr gewarnet ist mit allen tugenden		11	2	P	WOD
file:///M155-N1_11-2_P.ttl/s94_13	t1625_000	bekêret	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	sô gât ez an eine eische ze einere wende diu dâr ôstert bekêret ist unde kiuset ein loch unde sihet dâ durch gegen dere sunnen unzen sîniu ougen entliuhtet werdent		11	2	P	WOD
file:///M155-N1_11-2_P.ttl/s96_23	t1670_000	genemmet	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	der dâr ist genemmet oriens daz diu herze entliuhte durch sînen geist unde daz er dir		11	2	P	WOD
file:///M182A-N1_11-2_P.ttl/s15_16	t247_000	errihtet	VX>RB>Cl	bist	Ind.Pres.Sg.2	sîn	VX>LB>Cl	nû bist dû ûf errihtet vone deme süezen gotes joche		11	2	P	OOD
file:///M182A-N1_11-2_P.ttl/s15_4	t236_000	bedrücket	VX>RB>Cl	wære	Ind.Past.Sg.2	wësen	VX>LB>Cl	êr wære dû bedrücket under deme swâren joche dînes mannes		11	2	P	OOD
file:///M182A-N1_11-2_P.ttl/s17_9	t278_000	entvangen	VX>RB>Cl	habes	Ind.Pres.Sg.2	haben	VX>LB>Cl	nû habes dû aber die vrîheit vone gote entvangen		11	2	P	OOD
file:///M182A-N1_11-2_P.ttl/s35_13	t558_000	verlâzen	VX>RB>Cl	habent	Ind.Pres.Pl.3	haben	VX>LB>Cl	sô habent dich die sünde verlâzen nalls dû sie		11	2	P	OOD
file:///M182A-N1_11-2_P.ttl/s58_8	t865_000	getân	VX>RB>Cl	haben	Subj.Pres.Pl.3	haben	VX>RB>Cl	unde obe si sie aber getân haben		11	2	P	OOD
file:///M182A-N1_11-2_P.ttl/s102_11	t1504_000	gegarwet	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	daz iu gegarwet ist vone anegenge dere werlte		11	2	P	OOD
file:///M182A-N1_11-2_P.ttl/s104_11	t1530_000	gegerwet	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	daz dâr gegerwet ist deme tiuvele unde sînen engelen		11	2	P	OOD
file:///M182B-N1_11-2_P.ttl/s30_4	t665_000	gesetzet	VX>RB>Cl	biren	Ind.Pres.Pl.1	sîn	VX>LB>Cl	alsô biren wir gesetzet daz wir sîn üebære dere gotes ê		11	2	P	OOD
file:///M182B-N1_11-2_P.ttl/s30_4	t665_000	gesetzet	VX>RB>Cl	sîn	Subj.Pres.Pl.1	sîn	VX>RB>Cl>PostF>Cl	alsô biren wir gesetzet daz wir sîn üebære dere gotes ê		11	2	P	OOD
file:///M182B-N1_11-2_P.ttl/s60_4	t1421_000	geladet	VX>RB>Cl	sint	Ind.Pres.Pl.3	sîn	VX>LB>Cl	manige sint dare geladet durch die geloube		11	2	P	OOD
file:///M182B-N1_11-2_P.ttl/s87_13	t1981_000	verstôzen	VX>RB>Cl	was	Ind.Past.Sg.3	wësen	VX>RB>Cl>PostF>Cl	daz dâr blindez verstôzen wart vone den mandungen des paradisi in ditze ellenttuom in deme iz was unwizzende		11	2	P	OOD
file:///M182C-N1_11-2_P.ttl/s18_10	t240_000	gesamenet	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	diu dâr gesamenet ist vone den heidenen		11	2	P	OOD
file:///M182C-N1_11-2_P.ttl/s22_9	t323_000	beheftet	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>LB>Cl	der ist rehte beheftet unze er langest wonete in dere blintnusside soliches irretuomes		11	2	P	OOD
file:///M182C-N1_11-2_P.ttl/s28_17	t539_000	vermanet	VX>RB>Cl	wære	Subj.Past.Sg.3	wësen	VX>RB>Cl	daz si vone ime vermanet wære		11	2	P	OOD
file:///M182C-N1_11-2_P.ttl/s34_3	t723_000	verloren	VX>RB>Cl	wâren	Ind.Past.Pl.3	wësen	VX>RB>Cl	die dâr verloren wâren		11	2	P	OOD
file:///M242-G1_11-2_P.ttl/s56_6	t606_000	getân	VX>RB>Cl	habet	Ind.Pres.Sg.3	haben	VX>RB>Cl	daz got Christum wunderlîchen getân habet		11	2	P	OOD
file:///M242-G1_11-2_P.ttl/s69_19	t740_000	geschriben	VX>RB>Cl	ist	Ind.Pres.Sg.3	sîn	VX>RB>Cl	vone den geschriben ist		11	2	P	OOD
file:///M242-G1_11-2_P.ttl/s84_20	t887_000	getân	VX>RB>Cl	habest	*.Pres.Sg.2	haben	VX>LB>Cl	dû habest unsich getân ze dîneme bilede		11	2	P	OOD
file:///M242-G1_11-2_P.ttl/s84_6	t873_000	geouget	VX>RB>Cl	habest	*.Pres.Sg.2	haben	VX>LB>Cl	habest iz uns geouget		11	2	P	OOD
file:///M242-G1_11-2_P.ttl/s86_9	t914_000	gegeben	VX>RB>Cl	habest	*.Pres.Sg.2	haben	VX>LB>Cl	in mîneme herzen habest dû mir die vröuwede gegeben		11	2	P	OOD
