LZ00203	-zëc	zalw.	zehen:	zehen	_	_
LN01325	„norchen		fische	fische	_	_
LA00011	abbet	stm.	abt.	abt	_	_
LA00012	abbeteie	stf.	abtei;	abtei	_	_
LA00017	abe bediuten		deutend abfordern	_	_	_
LA00020	abe bëllen		anbellen	anbellen	_	_
LA00021	abe bërn		abnehmen	abnehmen	_	_
LA00022	abe bern	sw.	abhauen	abhauen	_	_
LA00025	abe biten		derogare	derogare	_	_
LA00026	abe bîʒen		abbeissen	abbeissen	_	_
LA00027	abe brëchen		abbrechen, niederreissen	abbrechen	4	0.3333333333333333
LA00027	abe brëchen		abbruchthun, verkürzen, rauben	abbruchthun	7	0.5833333333333334
LA00027	abe brëchen		sich los machen	_	_	_
LA00028	abe brësten		abbrechen	abbrechen	_	_
LA00029	abe brevieren		im auszug abschreiben	abschreiben	6	0.46153846153846156
LA00031	abe däwen		verdauen	verdauen	_	_
LA00032	abe dingen		ausbedingen	ausbedingen	_	_
LA00032	abe dingen		durch versprechung eines grössern lohnes abwendig machen:	abwendig	5	0.5
LA00032	abe dingen		rechtlich übereinkommen:	übereinkommen	8	0.5714285714285714
LA00033	abe dringen		abnöthigen	abnöthigen	_	_
LA00033	abe dringen		rejicere	rejicere	_	_
LA00034	abe drücken		abstergere	abstergere	_	_
LA00035	abe eichen		abeichen	abeichen	_	_
LA00036	abe eischen		herunterfordern	herunterfordern	_	_
LA00037	abe erdræjen		durch drehen abgewinnen	_	_	_
LA00038	abe erdröuwen		abdrohen	abdrohen	_	_
LA00039	abe erîlen		einem etw. abjagen	_	_	_
LA00041	abe erkennen		abschaffen:	abschaffen	_	_
LA00042	abe erlecken		fig. durch betteln abgewinnen	abgewinnen	7	0.5833333333333334
LA00043	abe erliegen		durch lügen abgewinnen	abgewinnen	6	0.5
LA00040	abe ern		abpflügen	abpflügen	_	_
LA00044	abe erstërben		absterben	absterben	_	_
LA00045	abe erstrîten		einem etw. durch kampf abgewinnen;	_	_	_
LA00046	abe ertriegen		durch trug abgewinnen	abgewinnen	7	0.5384615384615384
LA00047	abe ëʒʒen		fig. seinen unwillen aufzehren, sich besänftigen	_	_	_
LA00048	abe gân		abgehen	abgehen	_	_
LA00048	abe gân		aufhören, verschwinden	_	_	_
LA00048	abe gân		es ihm verweigern, nicht halten	_	_	_
LA00048	abe gân		rückgängig werden	_	_	_
LA00048	abe gân		von der unzeitigen geburt	_	_	_
LA00049	abe gebaden		abwaschen	abwaschen	_	_
LA00052	abe geliden		ablösen:	ablösen	_	_
LA00053	abe gelten		abzahlen, bezahlen	abzahlen	5	0.5
LA00054	abe gereden		absprechen	absprechen	_	_
LA00055	abe gerihten		abtragen, gutmachen;	abtragen	7	0.5833333333333334
LA00056	abe gesitzen		vom rosse steigen;	_	_	_
LA00057	abe gestân		davon ablassen	_	_	_
LA00057	abe gestân		es ihm nicht leisten	_	_	_
LA00057	abe gestân		ihn im stiche lassen	_	_	_
LA00058	abe getrëten		von einem abfallen	_	_	_
LA00059	abe gewinnen		es von ihm erlangen;	_	_	_
LA00060	abe gewischen		abwischen;	abwischen	_	_
LA00061	abe geziehen		abziehen	abziehen	_	_
LA00062	abe geziugen		durch zeugniss abgewinnen	abgewinnen	5	0.4166666666666667
LA00063	abe güeten		wegen eines anspruchs auf ein gut abfinden	_	_	_
LA00064	abe gürten		discingere	discingere	_	_
LA00066	abe heben		herunter heben	heben	4	0.4444444444444444
LA00067	abe hëlfen		ihm dabei behülflich sein	_	_	_
LA00069	abe houwen		abhauen	abhauen	_	_
LA00070	abe îlen		durch eile, überrumpelung wegnehmen	_	_	_
LA00072	abe klûben		abpflücken;	abpflücken	_	_
LA00073	abe komen		entkommen;	entkommen	_	_
LA00073	abe komen		von etwas los kommen, es veräussern	kommen	5	0.5555555555555556
LA00074	abe lâʒen		ablassen, nachlassen	ablassen	6	0.5454545454545454
LA00074	abe lâʒen		abtrünnig werden	_	_	_
LA00075	abe lëdigen		ablösen	ablösen	_	_
LA00076	abe legen		ablegen, abstellen; erstatten, vergüten	ablegen	2	0.2222222222222222
LA00076	abe legen		niederlegen im sinne von: einem das handwerk legen	legen	4	0.4444444444444444
LA00077	abe leiten		abführen, ablenken	ablenken	4	0.4
LA00077	abe leiten		abwendig machen	_	_	_
LA00078	abe leschen		auslöschen	auslöschen	_	_
LA00079	abe lësen		abpflücken	abpflücken	_	_
LA00080	abe liegen		durch lügen wovon abhalten	abhalten	5	0.5
LA00083	abe loufen		über etwas hinab laufen;	laufen	5	0.5
LA00084	abe meiʒen		abschlagen;	abschlagen	_	_
LA00086	abe nëmen		abnehmen, geringer werden;	abnehmen	4	0.4
LA00086	abe nëmen		abschaffen, einem etw. es ihm entgelten lassen, ihn dafür züchtigen, s. dafür die belege	abschaffen	6	0.6
LA00089	abe rechen		abrechnen	abrechnen	_	_
LA00088	abe reden		verabreden	verabreden	_	_
LA00090	abe reiten		abrechnen, bezahlen	abrechnen	5	0.5
LA00091	abe rihten		ablegen, gut machen	ablegen	6	0.6
LA00091	abe rihten		abschaffen	abschaffen	_	_
LA00092	abe rîsen		abfallen	abfallen	_	_
LA00093	abe rîten		durch reiten verderben	reiten	6	0.6
LA00093	abe rîten		fortreiten,	fortreiten	_	_
LA00094	abe riuten		unkraut, gestrüppe ausreissen	ausreissen	6	0.6
LA00095	abe rîʒen		herabreissen, entreissen, rauben	_	_	_
LA00096	abe rouben		rauben	rauben	_	_
LA00098	abe rücken		wegziehen, entfernen;	_	_	_
LA00099	abe rüefen		abrufen, absetzen	abrufen	5	0.45454545454545453
LA00100	abe rûmen		abräumen, speciell den aberûm eines steinbruches wegnehmen	abräumen	4	0.4
LA00101	abe sagen		fehde ankündigen	_	_	_
LA00101	abe sagen		mit worten zurückweisen, aufkündigen	_	_	_
LA00102	abe sateln		absatteln	absatteln	_	_
LA00103	abe schaben		sich fortbegeben	_	_	_
LA00104	abe schatzen		geld, beute gewinnen	_	_	_
LA00104	abe schatzen		taxieren	taxieren	_	_
LA00105	abe scheiden		discedere,	discedere	_	_
LA00105	abe scheiden		lostrennen, entfernen, entlassen, verabschieden	verabschieden	7	0.5384615384615384
LA00106	abe scheln		abschälen;	abschälen	_	_
LA00108	abe schërn		abschern in eigentl. u. übertrag. bedeutung;	abschern	4	0.36363636363636365
LA00110	abe schieben		entfernen	entfernen	_	_
LA00111	abe schieʒen		abfallen, schadhaft werden	_	_	_
LA00111	abe schieʒen		abschlagen	abschlagen	_	_
LA00112	abe schimpfen		scherzhaft ablocken?	_	_	_
LA00113	abe schrecken		durch drohung u. eingeflösste furcht abnehmen	_	_	_
LA00114	abe schrîben		abschreiben, copieren;	abschreiben	4	0.3076923076923077
LA00115	abe schrôten		abschneiden, übertrag. verkleinern, die ehre abschneiden;	abschneiden	6	0.46153846153846156
LA00116	abe schüten		abschütteln, sich entschlagen; abschütten, abziehen;	abschütten	3	0.25
LA00117	abe segen		deserare	deserare	_	_
LA00118	abe sengen		versengen	versengen	_	_
LA00119	abe setzen		vom pferde setzen, die pferde ausspannen	setzen	4	0.4
LA00119	abe setzen		von einem amt absetzen;	absetzen	2	0.2
LA00120	abe sîn		abtreten; abgethan, aufgehoben sein	_	_	_
LA00121	abe sinnen		von sinnen sein	sinnen	4	0.4
LA00122	abe slahen		abnehmen, in abzug bringen	abnehmen	6	0.6
LA00122	abe slahen		abschlagen, abhauen; durch einen schlag tödten, abschlachten	abschlagen	4	0.4
LA00122	abe slahen		im preise fallen	_	_	_
LA00122	abe slahen		schlagend von etw. bewegen	bewegen	6	0.6
LA00122	abe slahen		zurückschlagen, zurückhalten; zurückweisen, verweigern; vertreiben, verbannen;	_	_	_
LA00124	abe sleiʒen		abreissen, zerreissen	abreissen	6	0.5
LA00126	abe sloufen		abziehen	abziehen	_	_
LA00127	abe sneiten		abhauen	abhauen	_	_
LA00128	abe snîden		abschneiden;	abschneiden	_	_
LA00129	abe spannen		detendere.	detendere	_	_
LA00130	abe sprëchen		absprechen, ableugnen;	absprechen	4	0.3076923076923077
LA00131	abe spürn		die spuren eines weggehenden wahrnehmen	_	_	_
LA00132	abe stân		absteigen (vom pferd)	_	_	_
LA00132	abe stân		abtreten von einem amte	abtreten	5	0.5555555555555556
LA00132	abe stân		entfernen	entfernen	_	_
LA00132	abe stân		etwas hingeben, darauf verzichten, es nicht leisten;	leisten	5	0.5555555555555556
LA00132	abe stân		im rückstand bleiben, fehlen	_	_	_
LA00134	abe stellen		absetzen, entfernen,	absetzen	5	0.45454545454545453
LA00136	abe stîgen		herab, hinabsteigen;	hinabsteigen	7	0.5833333333333334
LA00137	abe stiuren		aussteuern	aussteuern	_	_
LA00138	abe stôʒen		abbrechen	abbrechen	_	_
LA00138	abe stôʒen		abladen	abladen	_	_
LA00138	abe stôʒen		absegeln	absegeln	_	_
LA00138	abe stôʒen		brechen	brechen	_	_
LA00138	abe stôʒen		herabstossen, entfernen	_	_	_
LA00138	abe stôʒen		von der rechten fährte abweichen (von jagdhunden);	_	_	_
LA00139	abe straelen		abkämmen	abkämmen	_	_
LA00141	abe strîchen		abstreichen, abstreifen, nehmen, rauben	abstreichen	4	0.3076923076923077
LA00142	abe stricken		abwenden, wegnehmen	_	_	_
LA00143	abe strîten		durch streit abgewinnen	_	_	_
LA00144	abe sundern		avellere;	avellere	_	_
LA00145	abe swern		abjurare;	abjurare	_	_
LA00146	abe swîchen		untreu werden, im stiche lassen	_	_	_
LA00147	abe swingen		herabfliegen,	herabfliegen	_	_
LA00147	abe swingen		herabschütteln, schlagen,	_	_	_
LA00149	abe teilen		abtheilen, trennen	abtheilen	3	0.3
LA00150	abe tîligen		tilgen, austilgen	austilgen	6	0.5
LA00151	abe traben		wegreiten	wegreiten	_	_
LA00152	abe tragen		abtragen, wegnehmen	abtragen	2	0.2
LA00152	abe tragen		ausgleichen	ausgleichen	_	_
LA00152	abe tragen		bezahlen	bezahlen	_	_
LA00153	abe trennen		abtrennen, an sich reissen	abtrennen	2	0.18181818181818182
LA00154	abe trëten		ab-, zurückweichen, enden,	_	_	_
LA00154	abe trëten		betreten;	betreten	_	_
LA00154	abe trëten		es versagen, davon abweichen, es abtreten,	abtreten	4	0.36363636363636365
LA00155	abe trîben		ab-, wegtreiben	wegtreiben	5	0.45454545454545453
LA00156	abe trossen		abladen	abladen	_	_
LA00157	abe troufen		abträufeln	abträufeln	_	_
LA00159	abe tuon		wegschaffen; sich eines ding., es aufgeben, entsagen;	_	_	_
LA00160	abe twahen		abwaschen	abwaschen	_	_
LA00161	abe vâhen		ab-, wegfangen; 	_	_	_
LA00162	abe vallen		abfallen; vom pferde steigen	abfallen	3	0.3
LA00163	abe varn		abfahren, speciell von seinem besitzthum abfahren, es verkaufen	_	_	_
LA00163	abe varn		abfallen	abfallen	_	_
LA00164	abe vellen		herabfallen machen	_	_	_
LA00166	abe vergëlten		sie bezahlen	_	_	_
LA00167	abe vretzen		abweiden	abweiden	_	_
LA00168	abe vüeren		abführen, wegnehmen;	abführen	4	0.36363636363636365
LA00169	abe wæjen		abwehen	abwehen	_	_
LA00170	abe waschen		abwaschen	abwaschen	_	_
LA00171	abe wëhseln		umtauschen	umtauschen	_	_
LA00172	abe weigen		abwehren	abwehren	_	_
LA00173	abe welzen		devolvere	devolvere	_	_
LA00174	abe wërben		abwendig machen;	_	_	_
LA00175	abe wërfen		vom pferde steigen;	_	_	_
LA00176	abe wësen		fehlen, mangeln	_	_	_
LA00177	abe winden		herabwinden	herabwinden	_	_
LA00178	abe wîsen		abweisen; durch beweis entfernen	abweisen	4	0.4
LA00178	abe wîsen		aussteuern	aussteuern	_	_
LA00180	abe zeisen		abzupfen	abzupfen	_	_
LA00181	abe zeln		verurtheilen, aburtheilen,	aburtheilen	6	0.5454545454545454
LA00182	abe zerbrëchen		abbrechen	abbrechen	_	_
LA00183	abe zerren		abreissen	abreissen	_	_
LA00184	abe ziehen		ab- zurückziehen, verweigern	zurückziehen	7	0.5384615384615384
LA00184	abe ziehen		ans land ziehen, landen	ziehen	4	0.4
LA00184	abe ziehen		auf etwas verzichten;	verzichten	5	0.5
