a	a
a	à
ā	a
abbet	Abt
abbeteie	Abtei
abbetissin	Äbtissin
abbetstap	Abtsstab
abc	Abc
abe	von
abe	abwärts
abebaden	abbaden
abebeheben	entziehen
abebekomen	loskommen
abebellen	anbellen
abebenemen	entziehen
abeberen	abnehmen
abeberen	abhauen
abebesnīden	abschneiden
abebetriegen	abbetrügen
abebetwingen	abzwingen
abebiegen	abbiegen
abebieten	abschaffen
abebileden	abbilden
abebillen	abschlagen
abebinden	abbinden
abebiten	abbitten
abebīzen	abbeißen
abeblāsen	abblasen
abebliuwen	abschlagen
abeblœzen	abblößen
abebrechære	Abbrecher
abebreche	Lichtschere
abebrechen	abbrechen
abebrechen	abbrechen
abebrechen	Abbrechen
abebrēchen	Verleumden
abebrecherie	Abbrecherei
abebrechunge	Abbrechung
abebrennære	Abbrenner
abebrennen	abbrennen
abebresten	abbrechen
abebringen	abbringen
abebrinnen	abbrennen
abebū	Abbau
abebüezen	abbüßen
abeburt	Fehlgeburt
abebūwen	abbauen
ābēcē	Alphabet
abedecken	abdecken
abedienen	abdienen
abedienest	Abdienst
abediuben	stehlen
abedöuwen	verdauen
abedrengen	abnötigen
abedreschen	loslaufen?
abedringen	abnötigen
abedrücken	abdrücken
abedrumen	abschlagen
abeduche	Senkgrube
abeein	voneinander
abeeischen	abheischen
abeeischunge	Abheischung
abeentrinnen	sterben
abeentrīten	wegreiten
abeentrünnære	Abtrünniger
abeentrunne	Abtrünniger
abeentstricken	losbinden
abeenttwahen	abwaschen
abeentvāhen	befreien
abeentvallen	abentfallen
abeentwīchen	entweichen
abeeraffen	wegnehmen
abeerbeizen	absitzen
abeerbiten	aberbitten
abeerbrogen	abtrotzen
abeeren	abpflügen
abeerīlen	abjagen
abeerkennen	abschaffen
abeerkennunge	Aberkennung
abeerkōsen	abschwatzen
abeerkoufen	abkaufen
abeerlecken	abbetteln
abeerliegen	ablügen
abeerlœsen	abgewinnen
abeernœten	abnötigen
abeerringen	abringen
abeersterben	absterben
abeerstrīten	aberstreiten
abeerteilen	aberteilen
abeervehten	entreißen
abeervlēhen	aberflehen
abeervrīen	erwerben
